date,time,latitude,longitude,temperature,humidity,pressure,ae,we,ppb
2018-02-06,14:58:20,48.149638,11.536645,1.842908,62.757305,949.270020,241.687500,241.656250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,1.786831,63.019760,949.309998,241.687500,241.625000,34.641476
2018-02-06,14:58:20,48.149638,11.536645,1.602579,63.274586,949.320007,241.531250,241.500000,34.762600
2018-02-06,14:58:20,48.149638,11.536645,1.575876,63.695736,949.250000,241.781250,241.781250,34.883724
2018-02-06,14:58:20,48.149638,11.536645,1.575876,64.530403,949.320007,241.781250,241.781250,34.883724
2018-02-06,14:58:20,48.149638,11.536645,1.506447,64.640266,949.340027,241.781250,241.687500,34.520351
2018-02-06,14:58:20,48.149638,11.536645,1.420996,64.464790,949.229980,241.750000,241.750000,34.883724
2018-02-06,14:58:20,48.149638,11.536645,1.420996,65.139236,949.270020,241.687500,241.593750,34.520351
2018-02-06,14:58:20,48.149638,11.536645,1.324865,65.500877,949.219971,241.843750,241.812500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,1.282139,65.261314,949.130005,241.625000,241.625000,34.883724
2018-02-06,14:58:20,48.149638,11.536645,1.226062,65.935760,949.229980,241.843750,241.750000,34.520351
2018-02-06,14:58:20,48.149638,11.536645,1.111238,65.006485,949.140015,241.875000,241.843750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,1.068513,66.237885,949.080017,241.843750,241.812500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,1.055161,66.402687,948.950012,241.843750,241.781250,34.641476
2018-02-06,14:58:20,48.149638,11.536645,1.012436,66.034943,948.900024,242.062500,242.031250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.969711,66.282143,948.859985,241.781250,241.750000,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.873579,65.774017,948.859985,241.906250,241.718750,34.156979
2018-02-06,14:58:20,48.149638,11.536645,0.817502,67.257195,948.780029,241.625000,241.562500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.774777,67.147324,948.849976,241.875000,241.781250,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.718700,67.934692,948.859985,241.812500,241.718750,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.633249,67.423515,948.849976,242.062500,241.968750,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.550469,67.156479,948.770020,241.875000,241.812500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.593194,67.019150,948.690002,242.062500,241.968750,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.593194,67.579155,948.679993,242.031250,241.875000,34.278103
2018-02-06,14:58:20,48.149638,11.536645,0.577173,67.953003,948.530029,242.156250,242.062500,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.438315,68.795303,948.559998,242.031250,241.937500,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.368887,67.730217,948.659973,241.906250,241.781250,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.270085,66.442360,948.650024,241.906250,241.875000,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.256733,68.419930,948.719971,242.125000,242.000000,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.187304,68.636604,948.669983,242.000000,241.875000,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.171283,69.263756,948.659973,242.000000,241.875000,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.101854,69.056229,948.630005,242.125000,242.031250,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.088502,68.686958,948.700012,242.187500,242.093750,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.000381,69.884796,948.559998,242.062500,241.937500,34.399227
2018-02-06,14:58:20,48.149638,11.536645,-0.026322,69.831390,948.479980,242.000000,241.875000,34.399227
2018-02-06,14:58:20,48.149638,11.536645,-0.138476,69.683372,948.320007,242.000000,241.843750,34.278103
2018-02-06,14:58:20,48.149638,11.536645,-0.181201,70.988022,948.289978,242.156250,242.125000,34.762600
2018-02-06,14:58:20,48.149638,11.536645,-0.280003,70.211334,948.090027,241.875000,241.750000,34.399227
2018-02-06,14:58:20,48.149638,11.536645,-0.250629,70.426491,948.200012,242.250000,242.125000,34.399227
2018-02-06,14:58:20,48.149638,11.536645,-0.293355,70.933090,948.320007,241.968750,241.812500,34.278103
2018-02-06,14:58:20,48.149638,11.536645,-0.167849,71.863892,948.190002,242.312500,242.250000,34.641476
2018-02-06,14:58:20,48.149638,11.536645,-0.069047,71.633476,948.080017,242.250000,242.125000,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.016403,71.175705,948.099976,242.000000,241.906250,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.056458,71.528191,948.260010,242.218750,242.093750,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.043107,71.479362,948.400024,241.937500,241.750000,34.156979
2018-02-06,14:58:20,48.149638,11.536645,-0.055695,72.045471,948.289978,241.843750,241.718750,34.399227
2018-02-06,14:58:20,48.149638,11.536645,-0.039673,72.133972,948.390015,241.593750,241.437500,34.278103
2018-02-06,14:58:20,48.149638,11.536645,-0.069047,72.526131,948.419983,241.843750,241.750000,34.520351
2018-02-06,14:58:20,48.149638,11.536645,-0.095750,72.550545,948.369995,241.937500,241.843750,34.520351
2018-02-06,14:58:20,48.149638,11.536645,-0.039673,73.015945,948.309998,242.125000,242.062500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.056458,73.102921,948.469971,242.031250,242.031250,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.187304,72.942703,948.409973,242.343750,242.218750,34.399227
2018-02-06,14:58:20,48.149638,11.536645,0.200656,72.710762,948.380005,241.718750,241.687500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.256733,73.080032,948.340027,242.343750,242.312500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.312810,72.985428,948.340027,242.312500,242.312500,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.240711,73.739220,948.429993,241.843750,241.843750,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.200656,74.142059,948.599976,242.062500,242.031250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.157931,74.367897,948.500000,242.000000,242.125000,35.368217
2018-02-06,14:58:20,48.149638,11.536645,0.075151,75.127792,948.539978,242.000000,242.000000,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.000381,75.870911,948.489990,242.062500,242.125000,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.000381,75.742729,948.570007,242.031250,241.968750,34.641476
2018-02-06,14:58:20,48.149638,11.536645,-0.012970,76.461433,948.700012,242.187500,242.343750,35.489342
2018-02-06,14:58:20,48.149638,11.536645,-0.012970,76.346992,948.840027,242.062500,242.031250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.016403,76.058594,949.080017,241.812500,241.812500,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.000381,76.296638,949.210022,242.156250,242.218750,35.125973
2018-02-06,14:58:20,48.149638,11.536645,-0.012970,76.441597,949.359985,241.937500,242.000000,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.075151,76.670479,949.359985,242.125000,242.218750,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.115206,76.871902,949.380005,242.187500,242.156250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.088502,76.932938,949.409973,242.125000,242.250000,35.368217
2018-02-06,14:58:20,48.149638,11.536645,0.115206,76.391243,949.369995,242.125000,242.093750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.200656,76.589607,949.460022,242.125000,242.218750,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.240711,76.699471,949.659973,242.187500,242.312500,35.368217
2018-02-06,14:58:20,48.149638,11.536645,0.326162,76.896317,949.630005,242.156250,242.250000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.451667,76.688789,949.880005,242.406250,242.562500,35.489342
2018-02-06,14:58:20,48.149638,11.536645,0.465019,76.034180,949.929993,242.062500,242.093750,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.424964,76.118103,949.950012,241.906250,241.937500,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.408942,76.379036,950.109985,242.031250,242.093750,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.465019,77.000076,950.190002,242.281250,242.375000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.494392,76.475166,950.130005,242.218750,242.218750,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.481041,76.580452,950.190002,241.843750,241.875000,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.537118,76.566719,950.070007,242.125000,242.312500,35.610466
2018-02-06,14:58:20,48.149638,11.536645,0.550469,76.295113,950.130005,242.218750,242.281250,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.521096,76.350044,950.030029,241.968750,241.937500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.593194,76.324104,950.090027,242.093750,242.093750,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.563821,76.121155,950.059998,241.937500,241.937500,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.577173,76.017395,950.239990,242.093750,242.125000,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.593194,76.255440,950.229980,241.906250,241.968750,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.593194,76.131836,950.270020,242.125000,242.156250,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.606546,76.333260,950.280029,242.000000,241.968750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.606546,76.168457,950.309998,242.000000,242.000000,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.689326,76.212708,950.260010,242.000000,242.093750,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.774777,75.692375,950.260010,242.250000,242.218750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.830854,75.628288,950.280029,242.218750,242.312500,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.801480,75.709160,950.239990,242.250000,242.218750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.718700,75.837341,950.159973,241.937500,241.906250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.774777,75.869385,950.159973,241.937500,242.125000,35.610466
2018-02-06,14:58:20,48.149638,11.536645,0.830854,75.834290,950.169983,242.093750,242.218750,35.368217
2018-02-06,14:58:20,48.149638,11.536645,0.801480,76.029602,950.250000,242.000000,242.093750,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.705348,76.058594,950.219971,242.000000,241.937500,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.675975,76.163879,950.239990,242.062500,242.031250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.649271,76.433968,950.250000,242.218750,242.312500,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.649271,76.726936,950.340027,242.000000,242.031250,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.662623,76.433968,950.450012,242.125000,242.093750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.705348,76.685738,950.500000,242.093750,242.156250,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.619898,76.849014,950.469971,242.031250,242.156250,35.368217
2018-02-06,14:58:20,48.149638,11.536645,0.705348,76.514839,950.440002,242.125000,242.218750,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.745403,76.116577,950.419983,241.906250,241.968750,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.844205,75.187302,950.390015,242.218750,242.250000,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.801480,74.700539,950.419983,242.187500,242.218750,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.857557,75.577934,950.419983,242.218750,242.281250,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.817502,75.948730,950.539978,242.125000,242.187500,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.830854,77.146561,950.570007,242.031250,242.125000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.830854,77.074844,950.700012,242.062500,242.218750,35.489342
2018-02-06,14:58:20,48.149638,11.536645,0.788128,77.409019,950.789978,242.031250,242.125000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.817502,77.714195,950.880005,242.125000,242.093750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.788128,78.237579,950.940002,241.937500,242.062500,35.368217
2018-02-06,14:58:20,48.149638,11.536645,0.844205,78.954758,950.929993,242.187500,242.343750,35.489342
2018-02-06,14:58:20,48.149638,11.536645,0.886931,78.896774,951.049988,242.187500,242.250000,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.857557,79.147018,951.179993,242.000000,242.125000,35.368217
2018-02-06,14:58:20,48.149638,11.536645,0.873579,79.101242,951.219971,241.906250,242.000000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.886931,79.084457,951.190002,242.093750,242.156250,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.844205,79.372856,951.340027,242.218750,242.375000,35.489342
2018-02-06,14:58:20,48.149638,11.536645,0.830854,79.275200,951.340027,242.218750,242.375000,35.489342
2018-02-06,14:58:20,48.149638,11.536645,0.844205,79.499504,951.409973,242.187500,242.375000,35.610466
2018-02-06,14:58:20,48.149638,11.536645,0.844205,78.658730,951.570007,241.937500,242.093750,35.489342
2018-02-06,14:58:20,48.149638,11.536645,0.857557,78.942551,951.669983,242.375000,242.468750,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.788128,78.699928,951.820007,242.218750,242.250000,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.801480,79.137863,951.830017,242.218750,242.312500,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.788128,78.837265,952.059998,242.156250,242.250000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.732052,78.753342,952.049988,242.343750,242.406250,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.745403,79.533073,952.140015,242.343750,242.437500,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.761425,79.372856,952.049988,242.187500,242.343750,35.489342
2018-02-06,14:58:20,48.149638,11.536645,0.774777,79.604790,952.179993,242.312500,242.375000,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.718700,79.794006,952.210022,242.281250,242.343750,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.705348,79.655144,952.239990,242.093750,242.156250,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.705348,79.505608,952.320007,242.062500,242.125000,35.125973
2018-02-06,14:58:20,48.149638,11.536645,0.675975,79.737541,952.530029,242.156250,242.250000,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.633249,79.316399,952.690002,242.250000,242.281250,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.563821,79.739067,952.719971,242.250000,242.343750,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.593194,79.967957,952.729980,242.062500,242.093750,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.563821,79.581902,952.890015,242.156250,242.062500,34.520351
2018-02-06,14:58:20,48.149638,11.536645,0.550469,79.508659,952.960022,242.062500,242.000000,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.577173,79.336235,953.039978,242.468750,242.437500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.537118,79.707024,953.210022,242.093750,242.062500,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.521096,79.778748,953.219971,242.093750,242.093750,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.550469,79.581902,953.219971,241.937500,241.937500,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.507744,79.784851,953.260010,241.906250,241.937500,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.481041,79.211105,953.280029,241.843750,241.781250,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.481041,80.112915,953.390015,242.093750,242.031250,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.465019,79.555962,953.409973,242.125000,242.093750,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.481041,79.435417,953.320007,242.187500,242.125000,34.641476
2018-02-06,14:58:20,48.149638,11.536645,0.481041,79.716179,953.460022,242.031250,242.031250,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.481041,79.720757,953.510010,241.968750,242.000000,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.438315,79.435417,953.510010,242.062500,242.031250,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.451667,79.385063,953.599976,242.031250,242.062500,35.004848
2018-02-06,14:58:20,48.149638,11.536645,0.451667,79.765015,953.690002,241.906250,241.906250,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.494392,79.714653,953.719971,241.968750,242.062500,35.247093
2018-02-06,14:58:20,48.149638,11.536645,0.507744,79.139389,953.679993,242.125000,242.125000,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.481041,79.052414,953.719971,241.875000,241.875000,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.521096,79.006638,953.840027,242.156250,242.156250,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.494392,79.024948,953.840027,241.937500,241.937500,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.521096,78.826584,953.890015,242.000000,242.000000,34.883724
2018-02-06,14:58:20,48.149638,11.536645,0.451667,78.699928,953.950012,242.031250,242.000000,34.762600
2018-02-06,14:58:20,48.149638,11.536645,0.481041,78.585487,953.979980,242.000000,241.937500,34.641476
