date,time,latitude,longitude,temperature,humidity,pressure,ae0,we0,ae1,we1
2017-12-31,21:02:26,0.000000,0.000000,24.839781,40.509651,948.390015,231.843750,231.656250,228.687500,230.343750
2017-12-31,21:12:34,48.154210,11.528250,23.066683,30.299839,948.320007,231.875000,231.468750,228.593750,226.875000
2017-12-31,21:22:35,48.154278,11.528275,20.043869,30.878157,948.140015,233.375000,233.031250,229.812500,229.906250
2017-12-31,21:32:36,48.154287,11.528525,17.525749,33.138020,948.419983,235.312500,235.093750,231.593750,233.000000
2017-12-31,21:42:36,48.154262,11.528332,15.699244,35.130848,948.450012,236.875000,236.656250,233.218750,236.156250
2017-12-31,21:52:37,48.154370,11.528220,14.193179,37.094681,948.539978,237.687500,237.500000,234.187500,237.875000
2017-12-31,22:02:38,48.154428,11.528157,13.098345,38.577858,948.599976,238.500000,238.312500,235.031250,238.375000
2017-12-31,22:12:38,48.154490,11.528342,12.225147,40.180058,948.890015,238.843750,238.656250,235.625000,239.531250
2017-12-31,22:22:39,48.154425,11.528232,11.536202,41.852444,948.929993,239.000000,238.781250,235.781250,239.562500
2017-12-31,22:32:40,48.154462,11.528350,10.975433,43.335621,948.869995,239.156250,238.968750,236.125000,240.156250
2017-12-31,22:42:41,48.154387,11.528478,10.494774,44.773022,949.070007,239.500000,239.375000,236.375000,240.750000
2017-12-31,22:52:41,48.154410,11.528360,10.088883,45.551231,949.070007,239.656250,239.468750,236.500000,240.312500
2017-12-31,23:02:42,48.154453,11.528485,9.720379,46.094452,948.940002,239.687500,239.500000,236.562500,240.281250
2017-12-31,23:12:43,48.154413,11.528352,9.330510,46.918442,948.809998,239.718750,239.500000,236.625000,240.437500
2017-12-31,23:22:43,48.154487,11.528322,9.106203,48.105591,948.659973,239.968750,239.718750,236.812500,240.593750
2017-12-31,23:32:44,48.154567,11.528330,8.951324,49.253071,948.609985,240.125000,239.937500,237.000000,240.843750
2017-12-31,23:42:44,48.154430,11.528315,8.793775,50.627911,948.640015,240.125000,240.000000,237.031250,241.343750
2017-12-31,23:52:45,48.154373,11.528468,8.681621,51.116196,948.609985,240.156250,239.937500,236.968750,240.968750
2018-01-01,00:02:46,48.154530,11.528812,8.681621,51.418327,948.539978,240.406250,240.187500,237.218750,240.937500
